Day,Totals deaths
-21,0
-20,0
-19,0
-18,0
-17,0
-16,0
-15,0
-14,0
-13,0
-12,0
-11,0
-10,2
-9,2
-8,2
-7,2
-6,4
-5,4
-4,4
-3,4
-2,6
-1,6
0,12
1,34
2,34
3,52
4,82
5,112
6,162
7,212
8,264
9,340
10,426
11,518
12,610
13,724
14,854
15,986
16,1130
17,1276
18,1448
19,1626
20,1820
21,2036
22,2230
23,2740
24,2766
25,3054
26,3338
27,3550
28,3746
29,4024
30,4256
31,4494
32,4718
33,4926
34,5238
35,5396
36,5524
37,5600
38,5714
39,5842
40,5958
41,6092
42,6227
43,6396
44,6556
45,6762
46,6968
47,7163
48,7621
49,8037
50,8577
51,9228
52,9929
53,10804
54,11513
55,13007
56,14199
57,15739
58,17679
59,19761
60,22495
61,25875
62,29195
63,32723
